"","RSD"
"X78.02055",0.144835
"X452.00345",0.155537
"X138.96337",0.098971
"X73.53838",0.061971
"X385.12885",0.041345
"X237.02815",0.102161
"X222.02744",0.075397
"X399.33298",0.05577
"X394.23541",0.049847
"X428.03716",0.04822
"X207.01423",0.041269
"X210.06077",0.133274
"X397.06669",0.08428
"X315.03262",0.065343
"X174.08419",0.078845
"X438.14243",0.061003
"X161.0295",0.064884
"X173.98804",0.09559
"X133.07219",0.114431
"X407.14259",0.077424
"X451.97517",0.05441
"X167.02071",0.032869
"X500.2254",0.198769
"X133.06077",0.051613
"X553.32542",0.13754
"X170.0326",0.044765
"X211.10945",0.106002
"X203.05255",0.031179
"X170.06172",0.038783
"X324.24879",0.056329
"X245.13234",0.135975
"X102.09132",0.084675
"X263.13186",0.039708
"X386.21715",0.302293
"X228.99584",0.087616
"X470.9348",0.073654
"X242.07889",0.047127
"X370.19102",0.275905
"X336.94224",0.04109
"X174.9828",0.072422
"X136.0474",0.053307
"X144.10058",0.051784
